Saacc,H-050-0,H-050-1,H-050-2,H-050-3,H-050-4,H-050-5,H-050-6,H-050-7,H-050-8,H-050-16,MLOGP,RDCHI,GATS1p,nN,C-040-0,C-040-1,C-040-2,C-040-3,C-040-4,LC50 [-LOG(mol/L)
11,1,0,0,0,0,0,0,0,0,0,2.274,2.15,1.754,0,1,0,0,0,0,3.7
54.999,1,0,0,0,0,0,0,0,0,0,2.11,3.866,1.521,0,1,0,0,0,0,5.291
41.028,1,0,0,0,0,0,0,0,0,0,3.742,3.136,1.773,0,1,0,0,0,0,6.042
0,1,0,0,0,0,0,0,0,0,0,3.562,2.281,1.15,0,1,0,0,0,0,5.548
28.269,1,0,0,0,0,0,0,0,0,0,1.971,2.294,1.275,1,1,0,0,0,0,4.608
6.249,1,0,0,0,0,0,0,0,0,0,2.869,3.095,0.862,2,1,0,0,0,0,6.188
149.498,1,0,0,0,0,0,0,0,0,0,4.207,3.047,1.283,3,1,0,0,0,0,6.24
42.683,0,1,0,0,0,0,0,0,0,0,0.347,1.334,1.768,0,1,0,0,0,0,0.935
57.28,0,1,0,0,0,0,0,0,0,0,0.734,2.548,1.853,2,1,0,0,0,0,3.25
0,0,1,0,0,0,0,0,0,0,0,1.364,1.334,1.212,0,1,0,0,0,0,6.102
27.185,1,0,0,0,0,0,0,0,0,0,2.06,2.394,1.088,0,1,0,0,0,0,6.579
70.941,0,0,1,0,0,0,0,0,0,0,2.195,3.082,0.999,3,1,0,0,0,0,7.044
57.46,1,0,0,0,0,0,0,0,0,0,2.054,2.891,1.442,3,1,0,0,0,0,9.14
16.786,1,0,0,0,0,0,0,0,0,0,1.676,1.509,0.779,1,0,1,0,0,0,5.308
36.022,0,0,1,0,0,0,0,0,0,0,0.59,1.879,1.001,2,1,0,0,0,0,2.838
36.022,0,0,1,0,0,0,0,0,0,0,1.945,2.461,0.805,2,1,0,0,0,0,3.351
86.378,0,0,1,0,0,0,0,0,0,0,2.273,2.478,1.254,5,1,0,0,0,0,3.331
117.437,0,0,1,0,0,0,0,0,0,0,2.031,2.679,1.198,6,0,1,0,0,0,6.447
42.683,0,1,0,0,0,0,0,0,0,0,-0.172,1.155,1.911,0,1,0,0,0,0,0.59
178.917,1,0,0,0,0,0,0,0,0,0,4.219,3.945,1.078,1,0,0,1,0,0,5.03
36.145,1,0,0,0,0,0,0,0,0,0,0.996,1.723,1.805,0,0,1,0,0,0,2.827
72.29,1,0,0,0,0,0,0,0,0,0,0.787,2.223,1.8,0,0,0,1,0,0,2.899
86.133,1,0,0,0,0,0,0,0,0,0,0.491,2.854,1.146,0,0,0,1,0,0,8.349
72.29,1,0,0,0,0,0,0,0,0,0,2.577,2.707,1.313,0,0,0,1,0,0,3.603
62.438,1,0,0,0,0,0,0,0,0,0,0.567,2.239,1.542,1,0,1,0,0,0,2.668
11,1,0,0,0,0,0,0,0,0,0,0.8,1.509,2.003,0,1,0,0,0,0,1.73
91.775,1,0,0,0,0,0,0,0,0,0,2.682,2.903,1.823,1,1,0,0,0,0,9.141
13.843,1,0,0,0,0,0,0,0,0,0,3.089,3.015,0.889,0,1,0,0,0,0,6.442
54.336,1,0,0,0,0,0,0,0,0,0,2.433,2.915,1.394,2,1,0,0,0,0,8.564
71.512,1,0,0,0,0,0,0,0,0,0,2.223,2.903,1.295,1,1,0,0,0,0,8.15
37.55,1,0,0,0,0,0,0,0,0,0,3.213,2.806,1.172,1,1,0,0,0,0,8.849
13.843,1,0,0,0,0,0,0,0,0,0,1.971,2.52,1.012,0,1,0,0,0,0,8.207
90.3,0,1,0,0,0,0,0,0,0,0,1.651,2.785,1.346,1,0,0,1,0,0,3.072
29.011,0,1,0,0,0,0,0,0,0,0,2.826,2.709,1.184,1,1,0,0,0,0,5.036
6.922,1,0,0,0,0,0,0,0,0,0,2.723,2.553,0.835,0,1,0,0,0,0,7.483
0,0,1,0,0,0,0,0,0,0,0,0.845,1.155,1.177,0,1,0,0,0,0,5.562
28.269,1,0,0,0,0,0,0,0,0,0,1.579,2.397,1.162,1,1,0,0,0,0,4.437
13.843,1,0,0,0,0,0,0,0,0,0,1.321,2.402,0.988,0,1,0,0,0,0,7.128
332.83,0,0,0,0,0,1,0,0,0,0,-0.139,4.73,1.551,1,0,1,0,0,0,3.277
310.81,0,0,0,0,0,1,0,0,0,0,0.143,4.805,1.597,2,0,1,0,0,0,3.795
301.147,0,0,0,0,1,0,0,0,0,0,0.036,4.758,1.584,1,0,1,0,0,0,4.602
71.18,0,1,0,0,0,0,0,0,0,0,4.761,3.537,1.147,2,0,0,1,0,0,4.307
32.897,0,0,1,0,0,0,0,0,0,0,2.193,2.056,0.992,1,1,0,0,0,0,6.13
16.786,1,0,0,0,0,0,0,0,0,0,1.533,2.056,1.203,1,1,0,0,0,0,3.481
99.365,0,0,0,0,1,0,0,0,0,0,3.048,2.813,0.791,4,1,0,0,0,0,4.632
147.153,0,0,1,0,0,0,0,0,0,0,1.789,3.373,1.175,3,0,1,0,0,0,3.432
31.394,1,0,0,0,0,0,0,0,0,0,0.16,1.7,2.092,2,1,0,0,0,0,1.601
75.965,1,0,0,0,0,0,0,0,0,0,1.648,2.689,1.675,4,1,0,0,0,0,7.037
6.249,1,0,0,0,0,0,0,0,0,0,0.59,1.7,1.19,2,1,0,0,0,0,2.232
36.022,0,0,1,0,0,0,0,0,0,0,-0.273,1.475,0.876,2,1,0,0,0,0,3.392
6.249,1,0,0,0,0,0,0,0,0,0,0.454,2.072,0.8,2,1,0,0,0,0,4.858
6.249,1,0,0,0,0,0,0,0,0,0,0.454,2.227,0.677,2,1,0,0,0,0,6.059
119.209,0,0,0,0,1,0,0,0,0,0,-0.812,2.478,0.926,3,1,0,0,0,0,7.378
20.263,1,0,0,0,0,0,0,0,0,0,1.354,1.89,2.073,3,1,0,0,0,0,1.43
324.873,0,0,0,0,0,0,0,1,0,0,-0.392,3.629,0.863,2,0,1,0,0,0,3.573
324.873,0,0,0,0,0,0,0,1,0,0,-0.875,3.595,0.945,2,0,1,0,0,0,6.43
3.124,1,0,0,0,0,0,0,0,0,0,2.193,2.048,1.241,1,1,0,0,0,0,4.385
36.022,0,0,1,0,0,0,0,0,0,0,1.628,2.231,0.75,2,1,0,0,0,0,3.298
99.4,0,0,1,0,0,0,0,0,0,0,0.658,3.426,1.189,4,1,0,0,0,0,2.685
19.91,1,0,0,0,0,0,0,0,0,0,1.272,2.473,1.256,2,1,0,0,0,0,4.733
128.306,0,1,0,0,0,0,0,0,0,0,1.146,3.505,1.232,3,0,1,0,0,0,3.674
6.249,1,0,0,0,0,0,0,0,0,0,0.198,1.975,0.858,2,1,0,0,0,0,5.47
84.184,0,1,0,0,0,0,0,0,0,0,0.349,2.397,2.092,1,0,1,0,0,0,5.76
56.999,0,1,0,0,0,0,0,0,0,0,-0.755,2.214,1.033,1,0,1,0,0,0,5.13
102.044,0,1,0,0,0,0,0,0,0,0,-0.463,2.434,1.256,3,0,0,1,0,0,5.12
118.087,0,1,0,0,0,0,0,0,0,0,-0.147,2.355,1.644,2,1,0,0,0,0,5.9
73.774,0,1,0,0,0,0,0,0,0,0,0.787,2.266,1.185,2,1,0,0,0,0,5.551
65.155,0,1,0,0,0,0,0,0,0,0,1.459,2.72,1.265,1,1,0,0,0,0,6.52
76.155,0,1,0,0,0,0,0,0,0,0,1.064,2.72,1.346,1,1,0,0,0,0,6.883
54.156,0,1,0,0,0,0,0,0,0,0,2.222,2.725,1.012,1,1,0,0,0,0,5.942
50.908,0,0,0,1,0,0,0,0,0,0,-0.792,1.401,0.647,2,1,0,0,0,0,3.979
21.135,0,1,0,0,0,0,0,0,0,0,0.18,1.627,1.051,2,1,0,0,0,0,2.188
63.842,0,0,1,0,0,0,0,0,0,0,0.894,3.136,1.388,3,1,0,0,0,0,3.008
18.011,0,1,0,0,0,0,0,0,0,0,1.859,1.989,1.062,1,1,0,0,0,0,5.79
42.683,0,1,0,0,0,0,0,0,0,0,-0.814,1,2.353,0,1,0,0,0,0,0.989
142.262,1,0,0,0,0,0,0,0,0,0,4.096,3.884,1.169,2,0,1,0,0,0,5.742
80.765,1,0,0,0,0,0,0,0,0,0,3.692,3.883,1.087,3,1,0,0,0,0,6.756
144.333,0,0,0,0,1,0,0,0,0,0,0.16,3.323,0.833,4,1,0,0,0,0,4.33
108.311,0,0,1,0,0,0,0,0,0,0,2.087,3.468,1.137,2,1,0,0,0,0,4.652
72.29,1,0,0,0,0,0,0,0,0,0,2.005,2.468,1.281,0,0,0,1,0,0,3.77
47.145,1,0,0,0,0,0,0,0,0,0,3.967,3.368,1.533,0,0,1,0,0,0,5.475
75.414,1,0,0,0,0,0,0,0,0,0,1.907,2.892,1.439,1,0,0,1,0,0,3.536
39.269,1,0,0,0,0,0,0,0,0,0,3.026,2.828,1.243,1,0,1,0,0,0,4.339
53.683,0,1,0,0,0,0,0,0,0,0,-0.081,1.577,1.952,0,1,0,0,0,0,0.59
47.145,1,0,0,0,0,0,0,0,0,0,0.538,1.952,1.928,0,0,1,0,0,0,2.511
64.683,0,1,0,0,0,0,0,0,0,0,0.224,2.108,1.904,0,1,0,0,0,0,1.888
76.79,0,1,0,0,0,0,0,0,0,0,0.489,1.999,1.533,0,1,0,0,0,0,7.699
65.67,0,1,0,0,0,0,0,0,0,0,-0.759,1.929,1.402,1,0,1,0,0,0,4.107
55.411,0,0,1,0,0,0,0,0,0,0,-1.222,1.575,1.362,1,1,0,0,0,0,6.618
71.512,1,0,0,0,0,0,0,0,0,0,1.919,2.72,1.291,1,1,0,0,0,0,7.671
71.512,1,0,0,0,0,0,0,0,0,0,1.602,2.687,1.288,1,1,0,0,0,0,7.341
75.193,1,0,0,0,0,0,0,0,0,0,0.906,3.034,0.941,3,0,1,0,0,0,7.858
11,1,0,0,0,0,0,0,0,0,0,4.19,2.225,0.58,0,1,0,0,0,0,7.012
53.683,0,1,0,0,0,0,0,0,0,0,3.028,2.225,0.548,0,1,0,0,0,0,6.176
53.683,0,1,0,0,0,0,0,0,0,0,2.736,2.183,0.62,0,1,0,0,0,0,5.527
112.494,1,0,0,0,0,0,0,0,0,0,3.275,2.661,1.243,2,1,0,0,0,0,5.636
53.683,0,1,0,0,0,0,0,0,0,0,2.736,2.187,0.62,0,1,0,0,0,0,5.372
43.897,0,0,1,0,0,0,0,0,0,0,1.246,2.056,1.081,1,1,0,0,0,0,5.571
57.28,0,1,0,0,0,0,0,0,0,0,1.838,2.611,1.175,2,1,0,0,0,0,3.155
77.727,0,1,0,0,0,0,0,0,0,0,1.126,3.536,1.157,3,1,0,0,0,0,3.594
43.897,0,0,1,0,0,0,0,0,0,0,1.246,2.046,1.081,1,1,0,0,0,0,5.642
53.683,0,1,0,0,0,0,0,0,0,0,1.246,2.046,1.114,0,1,0,0,0,0,3.48
11,1,0,0,0,0,0,0,0,0,0,1.859,1.989,1.164,0,1,0,0,0,0,3.432
43.897,0,0,1,0,0,0,0,0,0,0,1.246,2.031,1.081,1,1,0,0,0,0,4.011
53.683,0,1,0,0,0,0,0,0,0,0,1.246,2.031,1.114,0,1,0,0,0,0,3.68
93.694,0,0,0,1,0,0,0,0,0,0,2.195,4.365,1.086,2,1,0,0,0,0,5.132
20.765,1,0,0,0,0,0,0,0,0,0,2.492,2.659,1.194,0,1,0,0,0,0,6.79
86.378,0,0,1,0,0,0,0,0,0,0,3.185,2.93,1.13,5,1,0,0,0,0,4.485
101.265,0,0,0,1,0,0,0,0,0,0,2.273,2.459,1.086,5,1,0,0,0,0,4.288
0,1,0,0,0,0,0,0,0,0,0,3.562,2.031,1.15,0,1,0,0,0,0,5.45
0,1,0,0,0,0,0,0,0,0,0,3.259,1.975,1.111,0,1,0,0,0,0,4.53
42.683,0,1,0,0,0,0,0,0,0,0,2.193,1.975,1.02,0,1,0,0,0,0,4.765
0,1,0,0,0,0,0,0,0,0,0,2.942,1.924,1.063,0,1,0,0,0,0,3.524
161.259,0,0,1,0,0,0,0,0,0,0,2.401,3.053,0.798,1,1,0,0,0,0,4.14
0,1,0,0,0,0,0,0,0,0,0,3.562,2.119,1.15,0,1,0,0,0,0,4.317
0,1,0,0,0,0,0,0,0,0,0,3.21,1.924,0.788,0,1,0,0,0,0,4.933
42.683,0,1,0,0,0,0,0,0,0,0,1.859,1.924,0.949,0,1,0,0,0,0,3.71
16.786,1,0,0,0,0,0,0,0,0,0,2.66,2.408,0.976,1,1,0,0,0,0,3.618
0,1,0,0,0,0,0,0,0,0,0,3.677,2.344,0.868,0,1,0,0,0,0,4.98
0,1,0,0,0,0,0,0,0,0,0,3.169,2.238,0.711,0,1,0,0,0,0,4.025
0,1,0,0,0,0,0,0,0,0,0,2.942,1.918,1.063,0,1,0,0,0,0,3.653
32.897,0,0,1,0,0,0,0,0,0,0,1.859,1.918,0.917,1,1,0,0,0,0,5.168
42.683,0,1,0,0,0,0,0,0,0,0,1.859,1.918,0.949,0,1,0,0,0,0,3.76
50.747,1,0,0,0,0,0,0,0,0,0,2.241,2.108,0.942,1,1,0,0,0,0,4.04
0,1,0,0,0,0,0,0,0,0,0,3.677,2.324,0.868,0,1,0,0,0,0,5.001
0,1,0,0,0,0,0,0,0,0,0,2.942,1.908,1.063,0,1,0,0,0,0,3.791
42.683,0,1,0,0,0,0,0,0,0,0,1.859,1.908,0.949,0,1,0,0,0,0,3.863
125.108,0,0,1,0,0,0,0,0,0,0,0.139,2.748,1.267,2,0,1,0,0,0,2.359
0,1,0,0,0,0,0,0,0,0,0,3.169,2.224,0.711,0,1,0,0,0,0,4.756
0,1,0,0,0,0,0,0,0,0,0,2.459,1.475,1.5,0,1,0,0,0,0,4.002
0,1,0,0,0,0,0,0,0,0,0,1.672,1.225,0.562,0,1,0,0,0,0,3.28
47.145,1,0,0,0,0,0,0,0,0,0,4.579,3.875,0.927,0,0,1,0,0,0,8.067
25.145,1,0,0,0,0,0,0,0,0,0,1.442,1.509,1.157,0,0,1,0,0,0,2.576
0,1,0,0,0,0,0,0,0,0,0,3.291,1.549,2,0,1,0,0,0,0,4.927
0,1,0,0,0,0,0,0,0,0,0,2.957,1.509,0.533,0,1,0,0,0,0,4.186
0,1,0,0,0,0,0,0,0,0,0,2.604,1.475,0.505,0,1,0,0,0,0,3.46
44.88,1,0,0,0,0,0,0,0,0,0,2.419,1.509,0.731,0,1,0,0,0,0,3.954
0,1,0,0,0,0,0,0,0,0,0,6.166,2.959,0.57,0,1,0,0,0,0,8.271
0,1,0,0,0,0,0,0,0,0,0,2.226,1.265,2.5,0,1,0,0,0,0,3.643
0,1,0,0,0,0,0,0,0,0,0,1.817,1.225,0.502,0,1,0,0,0,0,3.254
0,1,0,0,0,0,0,0,0,0,0,3.558,1.978,1,0,1,0,0,0,0,6.72
11,1,0,0,0,0,0,0,0,0,0,4.452,2.862,0.543,0,1,0,0,0,0,6.508
61.404,1,0,0,0,0,0,0,0,0,0,3.429,2.749,1.08,0,1,0,0,0,0,5.3
11,1,0,0,0,0,0,0,0,0,0,4.214,2.687,0.504,0,1,0,0,0,0,6.21
0,1,0,0,0,0,0,0,0,0,0,5.124,2.515,0.456,0,1,0,0,0,0,6.777
0,1,0,0,0,0,0,0,0,0,0,5.469,2.573,0.465,0,1,0,0,0,0,6.623
0,1,0,0,0,0,0,0,0,0,0,2.081,1.401,0.501,0,1,0,0,0,0,3.485
0,1,0,0,0,0,0,0,0,0,0,1.672,1.334,0.562,0,1,0,0,0,0,2.642
0,1,0,0,0,0,0,0,0,0,0,2.604,1.559,0.664,0,1,0,0,0,0,3.655
0,1,0,0,0,0,0,0,0,0,0,2.604,1.43,0.505,0,1,0,0,0,0,3.842
0,1,0,0,0,0,0,0,0,0,0,2.226,1.401,0.826,0,1,0,0,0,0,3.339
11,1,0,0,0,0,0,0,0,0,0,0.408,1.689,1.038,0,1,0,0,0,0,3.587
0,1,0,0,0,0,0,0,0,0,0,2.081,1.509,0.685,0,1,0,0,0,0,4.322
0,1,0,0,0,0,0,0,0,0,0,1.817,1.334,0.718,0,1,0,0,0,0,2.49
22,1,0,0,0,0,0,0,0,0,0,1.466,2.15,1.22,0,1,0,0,0,0,2.937
94.527,0,0,1,0,0,0,0,0,0,0,-0.297,1.604,1.682,0,1,0,0,0,0,3.044
0,1,0,0,0,0,0,0,0,0,0,4.634,2.018,0.461,0,1,0,0,0,0,5.6
0,1,0,0,0,0,0,0,0,0,0,4.063,1.96,0.499,0,1,0,0,0,0,4.75
42.683,0,1,0,0,0,0,0,0,0,0,3.909,2.12,0.281,0,1,0,0,0,0,5.56
0,1,0,0,0,0,0,0,0,0,0,6.232,2.728,0.493,0,1,0,0,0,0,7.61
0,1,0,0,0,0,0,0,0,0,0,6.47,2.805,0.469,0,1,0,0,0,0,8.78
42.683,0,1,0,0,0,0,0,0,0,0,3.046,2.027,0.602,0,1,0,0,0,0,5.632
0,1,0,0,0,0,0,0,0,0,0,4.634,2.027,0.461,0,1,0,0,0,0,4.874
42.683,0,1,0,0,0,0,0,0,0,0,3.314,2.027,0.409,0,1,0,0,0,0,4.495
0,1,0,0,0,0,0,0,0,0,0,4.926,2.074,0.478,0,1,0,0,0,0,4.674
32.897,0,0,1,0,0,0,0,0,0,0,3.314,2.031,0.366,1,1,0,0,0,0,4.761
42.683,0,1,0,0,0,0,0,0,0,0,3.314,2.031,0.409,0,1,0,0,0,0,4.864
0,1,0,0,0,0,0,0,0,0,0,6.47,2.821,0.469,0,1,0,0,0,0,8.44
0,1,0,0,0,0,0,0,0,0,0,5.472,2.676,0.577,0,1,0,0,0,0,5.64
61.747,1,0,0,0,0,0,0,0,0,0,4.296,3.055,0.603,1,1,0,0,0,0,5.878
50.747,1,0,0,0,0,0,0,0,0,0,3.11,2.165,0.478,1,1,0,0,0,0,4.434
174.455,0,1,0,0,0,0,0,0,0,0,3.84,3.373,0.802,1,0,1,0,0,0,4.257
42.683,0,1,0,0,0,0,0,0,0,0,2.461,1.975,0.737,0,1,0,0,0,0,5.691
0,1,0,0,0,0,0,0,0,0,0,3.795,1.975,0.657,0,1,0,0,0,0,5.42
104.289,1,0,0,0,0,0,0,0,0,0,4.281,3.357,1.002,3,1,0,0,0,0,4.713
0,1,0,0,0,0,0,0,0,0,0,4.063,1.975,0.499,0,1,0,0,0,0,4.83
32.897,0,0,1,0,0,0,0,0,0,0,2.729,1.975,0.462,1,1,0,0,0,0,5.43
42.683,0,1,0,0,0,0,0,0,0,0,2.729,1.975,0.5,0,1,0,0,0,0,4.797
50.747,1,0,0,0,0,0,0,0,0,0,3.11,2.16,0.478,1,1,0,0,0,0,4.66
0,1,0,0,0,0,0,0,0,0,0,5.989,2.733,0.529,0,1,0,0,0,0,6.989
32.897,0,0,1,0,0,0,0,0,0,0,2.729,1.975,0.462,1,1,0,0,0,0,4.742
53.683,0,1,0,0,0,0,0,0,0,0,3.842,2.887,0.614,0,1,0,0,0,0,6.109
50.747,1,0,0,0,0,0,0,0,0,0,2.842,2.154,0.726,1,1,0,0,0,0,4.268
100.774,0,0,0,1,0,0,0,0,0,0,4.512,3.662,0.702,5,1,0,0,0,0,6.65
0,1,0,0,0,0,0,0,0,0,0,3.478,1.924,0.575,0,1,0,0,0,0,4.138
