cylinders, horsepower, model_year, mpg,
4,88,77,1, 
4,75,77,3, 
4,89,77,1, 
4,63,77,1, 
4,83,77,1, 
4,67,77,3, 
4,78,77,2, 
6,97,77,3, 
4,110,77,2, 
3,110,77,3, 
4,48,78,2, 
4,66,78,1, 
4,52,78,3, 
4,70,78,3, 
4,60,78,3, 
8,110,78,1, 
8,140,78,1, 
8,139,78,1, 
6,105,78,1, 
6,95,78,1, 
6,85,78,1, 
4,88,78,1, 
6,100,78,1, 
6,90,78,1, 
6,105,78,1, 
6,85,78,1, 
6,110,78,1, 
6,120,78,1, 
8,145,78,1, 
6,165,78,1, 
8,139,78,1, 
8,140,78,1, 
4,68,78,1, 
4,95,78,3, 
4,97,78,3, 
4,75,78,1, 
4,95,78,3, 
4,105,78,1, 
4,85,78,1, 
4,97,78,3, 
5,103,78,2, 
6,125,78,2, 
4,115,78,2, 
6,133,78,2, 
4,71,78,2, 
4,68,78,3, 
6,115,79,1, 
6,85,79,1, 
4,88,79,1, 
6,90,79,1, 
6,110,79,1, 
8,130,79,1, 
8,129,79,1, 
8,138,79,1, 
8,135,79,1, 
8,155,79,1, 
8,142,79,1, 
8,125,79,1, 
8,150,79,1, 
4,71,79,2, 
4,65,79,3, 
4,80,79,1, 
4,80,79,1, 
5,77,79,2, 
8,125,79,1, 
4,71,79,2, 
8,90,79,1, 
4,70,79,1, 
4,70,79,1, 
4,65,79,3, 
4,69,79,2, 
4,90,79,1, 
6,115,79,1, 
6,115,79,1, 
4,90,79,1, 
4,76,80,2, 
4,60,80,3, 
4,70,80,1, 
4,65,80,3, 
4,90,80,1, 
4,88,80,1, 
4,90,80,1, 
6,90,80,1, 
4,78,80,2, 
4,90,80,3, 
4,75,80,3, 
4,92,80,3, 
4,75,80,3, 
4,65,80,3, 
4,105,80,1, 
4,65,80,3, 
4,48,80,2, 
4,48,80,2, 
5,67,80,2, 
4,67,80,2, 
4,67,80,3, 
4,67,80,3, 
4,62,80,2, 
6,132,80,3, 
3,100,80,3, 
4,88,80,2, 
4,72,80,3, 
4,84,81,1, 
4,84,81,1, 
4,92,81,1, 
6,110,81,1, 
4,84,81,1, 
4,58,81,3, 
4,64,81,1, 
4,60,81,3, 
4,67,81,3, 
4,65,81,3, 
4,62,81,3, 
4,68,81,3, 
4,63,81,1, 
4,65,81,1, 
4,65,81,1, 
4,74,81,2, 
4,75,81,3, 
4,75,81,3, 
4,100,81,3, 
4,74,81,3, 
4,80,81,2, 
6,76,81,2, 
6,116,81,3, 
6,120,81,3, 
6,110,81,1, 
8,105,81,1, 
6,88,81,1, 
6,85,81,1, 
4,88,82,1, 
4,88,82,1, 
4,88,82,1, 
4,85,82,1, 
4,84,82,1, 
4,90,82,1, 
4,92,82,1, 
4,74,82,2, 
4,68,82,3, 
4,68,82,3, 
4,63,82,1, 
4,70,82,1, 
4,88,82,3, 
4,75,82,3, 
4,70,82,3, 
4,67,82,3, 
4,67,82,3, 
4,67,82,3, 
6,110,82,1, 
6,85,82,1, 
4,92,82,1, 
6,112,82,1, 
4,96,82,3, 
4,84,82,1, 
4,90,82,1, 
4,86,82,1, 
4,52,82,2, 
4,84,82,1, 
4,79,82,1, 
4,82,82,1, 
