Saacc,H-050,MLOGP,RDCHI,GATS1p,nN,C-040,LC50 [-LOG(mol/L)
72.29,0,5.426,3.893,1.402,0,2,4.55
41.028,0,5.208,3.691,1.585,0,0,6.383
0,0,3.516,1.678,1.667,0,0,4.34
115.445,1,5.44,4.623,1.517,1,3,4.85
42.683,1,5.089,3.049,1.247,0,0,6.064
42.683,1,4.833,2.913,1.229,0,0,6.36
26.663,0,3.247,2.789,1.206,1,1,6.074
42.683,1,1.94,1.997,1.61,0,0,3.226
210.537,3,0.868,3.59,1.462,3,1,2.626
28.269,0,2.275,2.445,1.29,1,0,4.474
16.786,0,2.539,1.84,0.92,1,1,5.429
54.156,1,1.737,2.472,0.638,1,0,6.848
50.908,3,0.59,1.909,0.907,2,0,3.85
72.29,0,3.618,3.197,1.356,0,2,4.878
72.29,0,4.091,3.568,1.15,0,2,5.19
11,0,2.274,2.15,1.754,0,0,3.7
54.999,0,2.11,3.866,1.521,0,0,5.291
41.028,0,3.742,3.136,1.773,0,0,6.042
0,0,3.562,2.281,1.15,0,0,5.548
28.269,0,1.971,2.294,1.275,1,0,4.608
6.249,0,2.869,3.095,0.862,2,0,6.188
149.498,0,4.207,3.047,1.283,3,0,6.24
42.683,1,0.347,1.334,1.768,0,0,0.935
57.28,1,0.734,2.548,1.853,2,0,3.25
0,1,1.364,1.334,1.212,0,0,6.102
27.185,0,2.06,2.394,1.088,0,0,6.579
70.941,2,2.195,3.082,0.999,3,0,7.044
57.46,0,2.054,2.891,1.442,3,0,9.14
16.786,0,1.676,1.509,0.779,1,1,5.308
36.022,2,0.59,1.879,1.001,2,0,2.838
36.022,2,1.945,2.461,0.805,2,0,3.351
86.378,2,2.273,2.478,1.254,5,0,3.331
117.437,2,2.031,2.679,1.198,6,1,6.447
42.683,1,-0.172,1.155,1.911,0,0,0.59
178.917,0,4.219,3.945,1.078,1,2,5.03
36.145,0,0.996,1.723,1.805,0,1,2.827
72.29,0,0.787,2.223,1.8,0,2,2.899
86.133,0,0.491,2.854,1.146,0,2,8.349
72.29,0,2.577,2.707,1.313,0,2,3.603
62.438,0,0.567,2.239,1.542,1,1,2.668
11,0,0.8,1.509,2.003,0,0,1.73
91.775,0,2.682,2.903,1.823,1,0,9.141
13.843,0,3.089,3.015,0.889,0,0,6.442
54.336,0,2.433,2.915,1.394,2,0,8.564
71.512,0,2.223,2.903,1.295,1,0,8.15
37.55,0,3.213,2.806,1.172,1,0,8.849
13.843,0,1.971,2.52,1.012,0,0,8.207
90.3,1,1.651,2.785,1.346,1,2,3.072
29.011,1,2.826,2.709,1.184,1,0,5.036
6.922,0,2.723,2.553,0.835,0,0,7.483
0,1,0.845,1.155,1.177,0,0,5.562
28.269,0,1.579,2.397,1.162,1,0,4.437
13.843,0,1.321,2.402,0.988,0,0,7.128
332.83,5,-0.139,4.73,1.551,1,1,3.277
310.81,5,0.143,4.805,1.597,2,1,3.795
301.147,4,0.036,4.758,1.584,1,1,4.602
71.18,1,4.761,3.537,1.147,2,2,4.307
32.897,2,2.193,2.056,0.992,1,0,6.13
16.786,0,1.533,2.056,1.203,1,0,3.481
99.365,4,3.048,2.813,0.791,4,0,4.632
147.153,2,1.789,3.373,1.175,3,1,3.432
31.394,0,0.16,1.7,2.092,2,0,1.601
75.965,0,1.648,2.689,1.675,4,0,7.037
6.249,0,0.59,1.7,1.19,2,0,2.232
36.022,2,-0.273,1.475,0.876,2,0,3.392
6.249,0,0.454,2.072,0.8,2,0,4.858
6.249,0,0.454,2.227,0.677,2,0,6.059
119.209,4,-0.812,2.478,0.926,3,0,7.378
20.263,0,1.354,1.89,2.073,3,0,1.43
324.873,7,-0.392,3.629,0.863,2,1,3.573
324.873,7,-0.875,3.595,0.945,2,1,6.43
3.124,0,2.193,2.048,1.241,1,0,4.385
36.022,2,1.628,2.231,0.75,2,0,3.298
99.4,2,0.658,3.426,1.189,4,0,2.685
19.91,0,1.272,2.473,1.256,2,0,4.733
128.306,1,1.146,3.505,1.232,3,1,3.674
6.249,0,0.198,1.975,0.858,2,0,5.47
84.184,1,0.349,2.397,2.092,1,1,5.76
56.999,1,-0.755,2.214,1.033,1,1,5.13
102.044,1,-0.463,2.434,1.256,3,2,5.12
118.087,1,-0.147,2.355,1.644,2,0,5.9
73.774,1,0.787,2.266,1.185,2,0,5.551
65.155,1,1.459,2.72,1.265,1,0,6.52
76.155,1,1.064,2.72,1.346,1,0,6.883
54.156,1,2.222,2.725,1.012,1,0,5.942
50.908,3,-0.792,1.401,0.647,2,0,3.979
21.135,1,0.18,1.627,1.051,2,0,2.188
63.842,2,0.894,3.136,1.388,3,0,3.008
18.011,1,1.859,1.989,1.062,1,0,5.79
42.683,1,-0.814,1,2.353,0,0,0.989
142.262,0,4.096,3.884,1.169,2,1,5.742
80.765,0,3.692,3.883,1.087,3,0,6.756
144.333,4,0.16,3.323,0.833,4,0,4.33
108.311,2,2.087,3.468,1.137,2,0,4.652
72.29,0,2.005,2.468,1.281,0,2,3.77
47.145,0,3.967,3.368,1.533,0,1,5.475
75.414,0,1.907,2.892,1.439,1,2,3.536
39.269,0,3.026,2.828,1.243,1,1,4.339
53.683,1,-0.081,1.577,1.952,0,0,0.59
47.145,0,0.538,1.952,1.928,0,1,2.511
64.683,1,0.224,2.108,1.904,0,0,1.888
76.79,1,0.489,1.999,1.533,0,0,7.699
65.67,1,-0.759,1.929,1.402,1,1,4.107
55.411,2,-1.222,1.575,1.362,1,0,6.618
71.512,0,1.919,2.72,1.291,1,0,7.671
71.512,0,1.602,2.687,1.288,1,0,7.341
75.193,0,0.906,3.034,0.941,3,1,7.858
11,0,4.19,2.225,0.58,0,0,7.012
53.683,1,3.028,2.225,0.548,0,0,6.176
53.683,1,2.736,2.183,0.62,0,0,5.527
112.494,0,3.275,2.661,1.243,2,0,5.636
53.683,1,2.736,2.187,0.62,0,0,5.372
43.897,2,1.246,2.056,1.081,1,0,5.571
57.28,1,1.838,2.611,1.175,2,0,3.155
77.727,1,1.126,3.536,1.157,3,0,3.594
43.897,2,1.246,2.046,1.081,1,0,5.642
53.683,1,1.246,2.046,1.114,0,0,3.48
11,0,1.859,1.989,1.164,0,0,3.432
43.897,2,1.246,2.031,1.081,1,0,4.011
53.683,1,1.246,2.031,1.114,0,0,3.68
93.694,3,2.195,4.365,1.086,2,0,5.132
20.765,0,2.492,2.659,1.194,0,0,6.79
86.378,2,3.185,2.93,1.13,5,0,4.485
101.265,3,2.273,2.459,1.086,5,0,4.288
0,0,3.562,2.031,1.15,0,0,5.45
0,0,3.259,1.975,1.111,0,0,4.53
42.683,1,2.193,1.975,1.02,0,0,4.765
0,0,2.942,1.924,1.063,0,0,3.524
161.259,2,2.401,3.053,0.798,1,0,4.14
0,0,3.562,2.119,1.15,0,0,4.317
0,0,3.21,1.924,0.788,0,0,4.933
42.683,1,1.859,1.924,0.949,0,0,3.71
16.786,0,2.66,2.408,0.976,1,0,3.618
0,0,3.677,2.344,0.868,0,0,4.98
0,0,3.169,2.238,0.711,0,0,4.025
0,0,2.942,1.918,1.063,0,0,3.653
32.897,2,1.859,1.918,0.917,1,0,5.168
42.683,1,1.859,1.918,0.949,0,0,3.76
50.747,0,2.241,2.108,0.942,1,0,4.04
0,0,3.677,2.324,0.868,0,0,5.001
0,0,2.942,1.908,1.063,0,0,3.791
42.683,1,1.859,1.908,0.949,0,0,3.863
125.108,2,0.139,2.748,1.267,2,1,2.359
0,0,3.169,2.224,0.711,0,0,4.756
0,0,2.459,1.475,1.5,0,0,4.002
0,0,1.672,1.225,0.562,0,0,3.28
47.145,0,4.579,3.875,0.927,0,1,8.067
25.145,0,1.442,1.509,1.157,0,1,2.576
0,0,3.291,1.549,2,0,0,4.927
0,0,2.957,1.509,0.533,0,0,4.186
0,0,2.604,1.475,0.505,0,0,3.46
44.88,0,2.419,1.509,0.731,0,0,3.954
0,0,6.166,2.959,0.57,0,0,8.271
0,0,2.226,1.265,2.5,0,0,3.643
0,0,1.817,1.225,0.502,0,0,3.254
0,0,3.558,1.978,1,0,0,6.72
11,0,4.452,2.862,0.543,0,0,6.508
61.404,0,3.429,2.749,1.08,0,0,5.3
11,0,4.214,2.687,0.504,0,0,6.21
0,0,5.124,2.515,0.456,0,0,6.777
0,0,5.469,2.573,0.465,0,0,6.623
0,0,2.081,1.401,0.501,0,0,3.485
0,0,1.672,1.334,0.562,0,0,2.642
0,0,2.604,1.559,0.664,0,0,3.655
0,0,2.604,1.43,0.505,0,0,3.842
0,0,2.226,1.401,0.826,0,0,3.339
11,0,0.408,1.689,1.038,0,0,3.587
0,0,2.081,1.509,0.685,0,0,4.322
0,0,1.817,1.334,0.718,0,0,2.49
22,0,1.466,2.15,1.22,0,0,2.937
94.527,2,-0.297,1.604,1.682,0,0,3.044
0,0,4.634,2.018,0.461,0,0,5.6
0,0,4.063,1.96,0.499,0,0,4.75
42.683,1,3.909,2.12,0.281,0,0,5.56
0,0,6.232,2.728,0.493,0,0,7.61
0,0,6.47,2.805,0.469,0,0,8.78
42.683,1,3.046,2.027,0.602,0,0,5.632
0,0,4.634,2.027,0.461,0,0,4.874
42.683,1,3.314,2.027,0.409,0,0,4.495
0,0,4.926,2.074,0.478,0,0,4.674
32.897,2,3.314,2.031,0.366,1,0,4.761
42.683,1,3.314,2.031,0.409,0,0,4.864
0,0,6.47,2.821,0.469,0,0,8.44
0,0,5.472,2.676,0.577,0,0,5.64
61.747,0,4.296,3.055,0.603,1,0,5.878
50.747,0,3.11,2.165,0.478,1,0,4.434
174.455,1,3.84,3.373,0.802,1,1,4.257
42.683,1,2.461,1.975,0.737,0,0,5.691
0,0,3.795,1.975,0.657,0,0,5.42
104.289,0,4.281,3.357,1.002,3,0,4.713
0,0,4.063,1.975,0.499,0,0,4.83
32.897,2,2.729,1.975,0.462,1,0,5.43
42.683,1,2.729,1.975,0.5,0,0,4.797
50.747,0,3.11,2.16,0.478,1,0,4.66
0,0,5.989,2.733,0.529,0,0,6.989
32.897,2,2.729,1.975,0.462,1,0,4.742
53.683,1,3.842,2.887,0.614,0,0,6.109
50.747,0,2.842,2.154,0.726,1,0,4.268
100.774,3,4.512,3.662,0.702,5,0,6.65
0,0,3.478,1.924,0.575,0,0,4.138
57.28,1,3.18,3.292,1.014,2,0,4.992
44.313,0,4.746,2.905,0.916,0,0,4.711
50.747,0,2.509,2.119,0.617,1,0,4.31
0,0,5.472,2.703,0.577,0,0,6.209
0,0,4.416,2.605,0.723,0,0,5.626
0,0,5.989,2.758,0.529,0,0,8.16
0,0,5.989,2.712,0.529,0,0,6.99
48.531,0,4.27,3.354,0.867,3,0,6.212
0,0,3.945,2.344,0.678,0,0,5.5
0,0,3.478,1.918,0.575,0,0,4.304
50.747,0,2.509,2.108,0.617,1,0,3.84
0,0,4.416,2.591,0.723,0,0,5.641
0,0,3.945,2.324,0.678,0,0,5.009
0,0,2.876,1.857,0.699,0,0,3.918
0,0,3.478,1.908,0.575,0,0,4.787
73.324,1,0.403,2.355,1.424,4,1,2.572
73.15,0,3.983,3.431,0.951,1,0,4.9
73.324,0,0.736,2.405,1.546,4,1,3.028
59.84,0,1.817,1.43,1.988,0,0,2.018
101.271,2,-0.234,1.975,1.091,2,1,3.716
132.193,2,1.671,3.501,1.095,3,1,3.742
59.409,0,4.396,3.542,0.91,3,0,4.579
65.971,1,3.289,3.767,1.129,1,0,5.754
92.47,0,3.613,4.245,1.175,4,2,4.835
78.204,0,4.832,4.074,0.962,1,2,8.582
123.084,0,4.217,4.111,0.994,1,2,8.678
78.204,0,4.794,3.99,0.645,1,2,9.945
78.204,0,3.907,3.934,0.908,1,2,9.063
100.652,3,0.821,3.06,1.082,6,1,2.533
67.204,0,2.981,2.784,1.072,1,2,6.475
62.119,0,0.796,1.84,0.743,2,2,6.251
93.164,0,4.279,3.962,0.907,1,2,9.133
78.204,0,4.115,3.934,0.76,1,2,10.047
60.144,0,3.3,3.469,1.102,2,1,4.92
64.63,0,-0.259,1.989,1.103,3,1,3.34
223.047,8,0.083,3.249,1.04,7,1,2.928
58.042,2,-0.38,1.401,1.151,1,1,2.649
250.102,6,1.632,5.369,1.145,6,4,4.27
61.166,2,2.589,2.919,0.826,2,0,4.234
58.042,2,2.481,2.133,0.506,1,1,2.348
65.794,4,-1.434,1.225,0.335,2,0,3.884
50.908,3,1.294,2.203,0.591,2,0,3.476
32.897,2,0.202,1.334,1.347,1,0,3.133
65.794,4,-1.053,1.334,1.61,2,0,3.358
92.593,3,-0.283,2.17,0.893,3,1,3.775
32.897,2,2.729,1.979,0.462,1,0,5.16
32.897,2,3.314,2.018,0.366,1,0,5.43
32.897,2,2.127,1.924,0.597,1,0,6.409
65.794,4,0.893,1.918,0.732,2,0,4.263
32.897,2,1.506,1.857,0.815,1,0,5.371
131.635,3,0.332,2.706,1.313,3,1,2.072
165.834,6,2.703,3.078,0.775,7,0,4.404
11,0,-0.564,1.5,1.733,0,0,2.332
11,0,1.533,2.274,1.026,0,0,4.018
138.783,1,3.16,2.827,1.14,2,1,5.301
81.025,0,5.4,3.936,0.991,0,1,8.112
116.232,2,3.508,3.281,0.803,2,1,7.802
61.166,2,3.988,3.169,0.627,2,0,7.478
25.145,0,4.912,2.659,0.491,0,0,6.394
50.29,0,1.415,2.074,1.108,0,0,5.001
50.29,0,2.233,2.415,0.866,0,0,5.545
86.311,2,3.652,3.557,1.237,2,2,4.249
67.828,1,3.696,3.117,1.149,0,0,5.17
61.166,2,-1.202,1.795,0.599,2,1,3.769
148.22,1,0.096,2.964,1.16,4,1,3.508
61.166,2,-1.095,1.726,1.463,2,0,1.188
315.561,5,1.662,5.831,1.351,0,1,3.884
358.244,6,0.957,5.839,1.345,0,1,4.566
50.29,0,0.076,1.84,1.493,0,0,3.788
28.269,0,-0.273,1.401,2.073,1,1,0.704
153.195,3,0.559,2.137,0.767,0,0,3.669
25.145,0,1.769,1.989,0.927,0,0,3.976
93.43,1,1.348,2.09,0.784,1,0,4.024
47.536,0,3.223,2.773,0.881,2,0,4.403
41.028,0,4.789,3.58,1.505,0,0,5.512
111.608,1,1.749,3.666,1.085,3,0,4.225
44.313,0,1.473,2.241,1.158,0,0,4.072
44.313,0,2.777,2.643,1.055,0,0,4.57
39.247,0,3.115,2.706,0.946,0,0,6.075
61.166,2,-0.31,1.918,0.578,2,1,4.221
36.145,0,2.265,2.344,0.923,0,1,4.032
76.448,0,2.288,2.848,1.591,4,0,3.22
22.156,0,2.779,2.639,0.859,0,0,4.001
210.6,1,3.773,3.759,0.95,1,2,4.501
92.973,1,3.374,3.061,0.91,0,1,3.599
67.828,1,4.548,3.101,1.137,0,1,4.56
206.609,3,-1.169,2.333,1.496,1,3,2.736
78.828,1,2.086,2.455,0.941,0,1,3.047
78.828,1,2.354,2.455,0.743,0,1,3.783
189.34,3,1.929,3.197,1.021,0,2,4.187
110.512,2,1.643,2.09,0.814,0,1,3.068
117.511,3,1.119,2.25,0.375,2,1,3.644
76.132,1,3.77,3.091,1.081,3,0,4.01
107.839,2,2.347,3.243,1.4,1,1,3.917
129.736,4,0.925,3.178,1.263,2,1,3.902
157.061,4,1.358,3.325,1.248,1,0,3.277
71.694,3,2.124,3.455,1.069,2,0,4.305
178.34,3,1.661,3.391,0.942,0,0,3.961
42.683,1,0.8,1.401,1.698,0,0,1.82
42.683,1,1.209,1.43,0.476,0,0,3.002
103.377,3,-0.917,1.84,1.75,1,0,2.957
85.367,2,-1.053,1.334,1.827,0,0,0.122
53.683,1,-0.081,1.678,1.952,0,0,1.07
64.683,1,-0.129,2.15,1.971,0,0,1.53
551.098,16,-5.199,4.3,1.373,7,0,3.077
179.269,3,1.228,3.039,0.787,2,1,3.025
571.952,18,-6.446,4.624,1.39,5,0,3.088
195.878,4,-1.204,2.214,1.066,0,1,3.177
281.245,6,1.442,3.878,1.205,0,0,5.291
42.683,1,2.461,1.975,0.737,0,0,4.852
42.683,1,2.296,1.924,0.521,0,0,4.464
42.683,1,2.127,1.924,0.633,0,0,4.426
93.43,1,1.348,2.119,0.784,1,0,4.016
42.683,1,3.127,2.605,0.797,0,0,4.668
85.367,2,3.635,3.12,1.03,0,0,4.962
42.683,1,2.637,2.344,0.758,0,0,4.61
42.683,1,1.506,1.857,0.853,0,0,3.85
42.683,1,2.127,1.908,0.633,0,0,4.238
42.683,1,3.127,2.57,0.797,0,0,5.38
36.022,2,-0.665,1.726,0.676,2,0,3.589
41.93,0,3.447,2.307,0.662,1,2,4.932
16.786,0,3.648,2.427,0.757,1,1,6.099
16.786,0,3.33,2.281,0.701,1,1,6.54
33.571,0,4.405,2.456,0.568,2,2,6.399
16.786,0,3.265,2.134,0.637,1,1,6.131
0,0,-0.049,1.155,1.5,0,1,4.56
0,0,0.552,2.485,1.147,3,0,2.54
16.786,1,1.769,2.239,0.793,1,0,4.494
85.367,4,-0.081,1.768,1.061,0,0,3.758
105.331,1,1.616,2.97,0.983,5,0,4.168
185.897,0,0.575,2.608,1.809,3,0,3.85
134.931,0,0.289,2.587,1.989,2,0,3.339
101.494,0,2.239,2.296,0.884,2,0,5.441
159.536,2,1.649,2.527,0.818,3,1,3.138
144.177,1,1.748,2.377,0.839,2,0,4.79
152.241,0,2.359,2.527,0.825,3,0,4.39
194.924,1,1.543,2.527,0.647,3,0,3.43
50.747,0,2.574,2.168,1.014,1,0,3.978
83.644,2,1.969,2.168,0.531,2,0,4.489
101.494,0,2.239,2.334,0.884,2,0,3.718
101.494,0,2.507,2.334,0.543,2,0,5.402
144.177,1,1.395,2.334,0.716,2,0,4.606
101.494,0,1.886,2.287,0.769,2,0,3.591
50.747,0,2.574,2.141,1.014,1,0,4.558
50.747,0,2.842,2.141,0.726,1,0,4.611
50.747,0,3.11,2.141,0.478,1,0,4.62
50.747,0,1.887,2.048,0.842,1,0,3.615
50.747,0,2.241,2.09,0.942,1,0,4.14
0,0,3.958,2.488,0.802,0,0,3.575
0,0,2.122,2.7,1.053,2,0,5.01
11,0,3.395,2.692,0.941,0,0,5.433
0,0,3.876,2.539,0.837,0,0,4.909
0,1,2.859,2.614,0.752,1,0,4.7
0,1,1.834,2.176,0.81,1,0,5.069
0,0,5.551,3.231,0.689,0,0,6.004
0,0,4.76,2.868,0.7,0,0,6.281
0,0,4.332,2.7,0.758,0,0,5.406
0,0,4.332,2.727,0.758,0,0,6.7
9.507,0,3.743,2.995,0.783,0,0,4.737
0,0,4.76,2.995,0.65,0,0,6.027
0,0,3.386,2.284,0.805,0,0,4.147
16.786,0,2.066,2.284,0.867,1,0,3.711
16.786,0,3.051,2.727,0.8,1,0,4.851
16.786,0,2.066,2.284,0.867,1,0,3.53
33.571,0,2.892,3.487,0.572,2,0,3.619
0,0,3.876,2.614,0.652,0,0,5.597
0,0,2.851,2.176,0.656,0,0,3.357
16.786,0,0.468,1.8,1.038,1,0,1.815
0,0,1.173,1.667,0.667,0,0,2.421
77.875,2,1.326,3.024,1.126,5,0,5.054
0,0,2.734,1.857,0.831,0,0,3.89
413.191,5,-0.321,6.439,1.557,11,11,4.779
0,0,3.374,2.075,1.204,0,0,3.792
25.145,0,0.094,1.334,1.328,0,0,5.993
31.059,0,-0.317,1.155,1.403,1,1,1.057
36.145,0,2.754,2.454,1.421,0,1,4.886
61.29,0,3.626,3.373,1.111,0,1,5.541
32.897,2,-0.317,1.225,0.575,1,1,3.638
85.367,2,0.706,1.689,1.594,0,0,1.22
53.683,1,1.629,2.353,1.2,0,0,2.614
54.156,1,2.378,2.587,1.055,1,0,4.762
34.106,0,1.297,2.042,1.933,0,0,2.829
85.367,2,3.956,3.123,0.959,0,0,5.37
0,0,3.477,1.857,1.429,0,0,4.819
25.145,0,1.442,1.84,1.58,0,0,4.039
0,0,4.203,1.997,1.625,0,0,5.47
0,0,4.823,2.299,1.6,0,0,5.299
72.29,0,6.338,4.16,1.402,0,2,6.194
36.022,2,1.971,2.472,1.144,2,0,3.52
41.028,0,3.234,2.901,1.984,0,0,4.862
20.263,0,3.322,2.901,0.874,0,0,7.676
56.055,0,3.373,3.471,0.992,3,0,4.943
104.618,0,4.066,3.016,1.314,3,0,7.012
28.269,0,3.092,2.814,0.948,1,0,5.548
28.269,0,2.821,2.502,1.283,1,1,3.078
6.249,0,1.761,2.66,0.779,2,0,5.976
50.908,3,-0.273,1.577,0.756,2,0,3.936
18.011,1,0.8,1.509,1.846,1,0,3.118
18.011,1,2.193,2.134,1.117,1,0,5.46
86.378,2,2.59,2.546,1.277,5,0,3.601
86.378,2,2.273,2.575,1.159,5,0,3.63
36.145,0,0.586,1.577,1.881,0,1,2.09
52.33,0,0.64,2.614,1.233,1,0,5.762
41.028,0,4.449,2.988,1.497,0,0,6.56
47.447,1,3.747,2.935,1.513,1,0,8.113
30.53,0,1.145,2.637,1.444,0,0,9.15
0,0,2.942,1.989,1.063,0,0,4.502
117.376,5,-0.329,1.868,1.621,5,0,1.983
3.124,0,4.761,3.273,1.052,1,0,5.551
16.786,0,1.157,1.334,0.685,1,1,5.418
18.011,1,-0.172,1.155,2.177,1,0,2.958
73.774,1,0.057,2.093,1.123,2,1,6.964
65.155,1,1.57,2.644,1.376,1,0,4.91
36.022,2,-0.273,1.559,0.876,2,0,3.825
73.891,1,4.153,3.383,1.121,1,0,5.783
133.775,0,3.168,4.055,1.153,3,2,6.389
141.047,1,2.767,3.488,1.216,2,2,4.071
70.941,2,1.052,2.676,1.137,3,0,6.119
94.289,0,0.977,3.191,1.146,0,0,2.506
41.028,0,1.246,2.086,1.875,0,0,9.099
67.257,0,1.02,2.969,0.946,1,2,5.6
80.144,0,1.936,3.852,1.151,0,0,8.028
22,0,4.268,3.164,0.857,0,0,7.087
78.828,1,2.758,2.856,1.022,0,1,3.794
22.156,0,-0.317,1.225,1.333,0,0,0.495
0,0,1.586,2.674,1.166,2,0,4.823
0,0,4.588,2.744,0.807,0,0,6.19
0,0,3.259,1.979,1.111,0,0,4.3
50.747,0,2.241,2.119,0.942,1,0,4.01
42.683,1,2.193,1.96,1.02,0,0,4.038
0,0,2.608,1.857,1,0,0,3.002
32.897,2,1.859,1.908,0.917,1,0,5.312
11,0,4.452,2.716,0.49,0,0,5.513
0,0,2.226,1.401,0.57,0,0,3.492
0,0,2.226,1.509,0.826,0,0,2.608
11,0,1.587,1.84,1.05,0,0,2.778
0,0,1.364,1.155,0.576,0,0,2.659
0,0,4.092,2.12,0.53,0,0,5.389
32.897,2,3.617,2.074,0.288,1,0,5.559
42.683,1,3.617,2.074,0.34,0,0,5.76
42.683,1,3.617,2.074,0.34,0,0,5.61
0,0,4.366,2.031,0.57,0,0,5.55
50.747,0,3.11,2.154,0.478,1,0,4.251
0,0,6.232,2.766,0.493,0,0,7.509
0,0,5.472,2.657,0.577,0,0,6.67
76.132,1,4.013,3.218,1.104,3,0,5.02
45.055,0,3.355,3.097,0.889,2,1,4.821
0,0,4.416,2.57,0.723,0,0,5.422
62.119,0,3.133,2.324,0.467,2,2,6.21
152.848,3,-0.172,2.629,1.025,4,0,3.839
32.897,2,2.729,1.975,0.462,1,0,5.437
65.794,4,3.586,2.758,0.518,2,0,5.381
32.897,2,2.127,1.918,0.597,1,0,6.108
32.897,2,2.127,1.908,0.597,1,0,5.19
84.479,4,0.038,2.278,0.544,5,1,4.006
110.512,2,3.31,3.267,1.169,0,0,4.535
45.652,0,4.332,4.121,1.12,0,1,8.164
28.269,0,0.198,1.782,1.559,1,1,4.906
110.688,1,2.843,3.244,0.745,3,1,4.022
65.155,1,1.191,2.899,1.265,1,0,3.47
67.828,1,1.667,2.031,0.867,0,0,4.462
135.657,2,-0.45,1.823,1.075,0,2,2.764
78.828,1,2.378,2.472,0.988,0,1,3.474
277.562,4,-1.358,3.033,1.552,2,4,3.103
180.366,4,-1.96,2.021,1.83,1,1,3.908
85.839,2,3.988,3.047,0.694,1,1,4.121
42.683,1,0.347,1.334,0.961,0,0,2.579
45.808,1,-0.081,1.577,2.001,1,0,2.959
107.366,2,-0.937,2.299,1.936,0,0,0.46
42.683,1,3.617,2.074,0.34,0,0,6.11
42.683,1,3.314,2.027,0.409,0,0,5.461
36.022,2,3.112,2.997,0.701,2,0,3.531
19.91,0,0.623,2.116,0.508,2,0,5.922
50.747,0,2.509,2.09,0.617,1,0,3.64
0,0,4.76,2.859,0.7,0,0,6.173
35.776,2,3.326,2.837,0.849,2,0,4.651
